Camera,"(0, 0)",960,704,"(320, 320)",1,false,"(0, 0)"
Camera,"(960, 0)",1408,960,"(1600, 320)",0.3,false,"(0, 0)"
Camera,"(2368, 0)",1920,960,"(3008, 320)",0.5,false,"(0, 0)"
Object,StartPoint,"(256, 64)"
Object,DangerWall,"(896, 3072)",1
Object,DangerWall,"(832, 3072)",1
Object,DangerWall,"(768, 3072)",1
Object,DangerWall,"(704, 3072)",1
Object,DangerWall,"(640, 3072)",1
Object,DangerWall,"(576, 3072)",1
Object,DangerWall,"(512, 3072)",1
Object,DangerWall,"(448, 3072)",1
Object,DangerWall,"(384, 3072)",1
Object,DangerWall,"(320, 3072)",1
Object,DangerWall,"(256, 3072)",1
Object,DangerWall,"(192, 3072)",1
Object,DangerWall,"(128, 3072)",1
Object,DangerWall,"(64, 3072)",1
Object,DangerWall,"(0, 3072)",1
Object,Wall,"(0, 0)",4
Object,Wall,"(0, 64)",4
Object,Wall,"(0, 128)",4
Object,Wall,"(0, 192)",4
Object,Wall,"(0, 256)",4
Object,Wall,"(0, 320)",4
Object,Wall,"(0, 384)",4
Object,Wall,"(0, 448)",4
Object,Wall,"(0, 512)",4
Object,Wall,"(0, 576)",4
Object,Wall,"(0, 640)",4
Object,Wall,"(0, 704)",4
Object,Wall,"(0, 768)",4
Object,Wall,"(0, 832)",4
Object,Wall,"(0, 896)",4
Object,Wall,"(0, 960)",4
Object,Wall,"(0, 1024)",4
Object,Wall,"(0, 1088)",4
Object,Wall,"(0, 1152)",4
Object,Wall,"(0, 1216)",4
Object,Wall,"(0, 1280)",4
Object,Wall,"(0, 1344)",4
Object,Wall,"(0, 1408)",4
Object,Wall,"(0, 1472)",4
Object,Wall,"(0, 1536)",4
Object,Wall,"(0, 1600)",4
Object,Wall,"(0, 1664)",4
Object,Wall,"(0, 1728)",4
Object,Wall,"(0, 1792)",4
Object,Wall,"(0, 1856)",4
Object,Wall,"(0, 1920)",4
Object,Wall,"(0, 1984)",4
Object,Wall,"(0, 2048)",4
Object,Wall,"(0, 2112)",4
Object,Wall,"(0, 2176)",4
Object,Wall,"(0, 2240)",4
Object,Wall,"(0, 2304)",4
Object,Wall,"(0, 2368)",4
Object,Wall,"(0, 2432)",4
Object,Wall,"(0, 2496)",4
Object,Wall,"(0, 2560)",4
Object,Wall,"(0, 2624)",4
Object,Wall,"(0, 2688)",4
Object,Wall,"(0, 2752)",4
Object,Wall,"(0, 2816)",4
Object,Wall,"(0, 2880)",4
Object,Wall,"(0, 2944)",4
Object,Wall,"(0, 3008)",4
Object,Wall,"(1152, 704)",7
Object,Wall,"(1664, 448)",7
Object,Wall,"(1792, 448)",7
Object,Wall,"(1728, 448)",7
Object,MiniNeedle,"(1728, 384)",0
Object,Wall,"(1984, 192)",7
Object,Wall,"(1920, 640)",7
Object,MiniNeedle,"(1920, 576)",0
Object,OneWayFloor,"(2432, 448)",1
Object,OneWayFloor,"(2368, 448)",1
Object,OneWayFloor,"(2304, 448)",1
Object,OneWayFloor,"(2240, 448)",1
Object,OneWayFloor,"(2176, 448)",1
Object,OneWayFloor,"(2496, 448)",1
Object,OneWayFloor,"(2560, 448)",1
Object,Wall,"(1472, 448)",7
Object,WarpPoint,"(256, 896)",
Object,WarpPoint,"(512, 896)",
Object,SavePoint,"(384, 1024)"
Object,OneWayFloor,"(320, 1152)",1
Object,OneWayFloor,"(384, 1152)",1
Object,OneWayFloor,"(448, 1152)",1
Object,MiniNeedle,"(320, 1088)",0
Object,MiniNeedle,"(448, 1088)",0
Object,JumpToggleWall,"(512, 1024)",true
Object,JumpToggleWall,"(256, 1024)",true
Object,Needle,"(2880, 384)",0,1
Object,Needle,"(3072, 384)",0,1
Object,Needle,"(3264, 384)",0,1
Object,Needle,"(3200, 384)",0,1
Object,Needle,"(3648, 640)",0,1
Object,JumpToggleNeedle,"(3456, 640)",0,false
Object,JumpToggleNeedle,"(3392, 640)",0,true
Object,JumpToggleNeedle,"(3264, 640)",0,true
Object,JumpToggleNeedle,"(3200, 640)",0,false
Object,Needle,"(2944, 640)",0,1
Object,OneWayFloor,"(3904, 448)",1
Object,OneWayFloor,"(2624, 448)",1
Object,OneWayFloor,"(2688, 448)",1
Object,Wall,"(2368, 704)",4
Object,Wall,"(2368, 768)",4
Object,Wall,"(2368, 832)",4
Object,Wall,"(2368, 896)",4
Object,Wall,"(2560, 704)",4
Object,Wall,"(2496, 704)",4
Object,Wall,"(4096, 896)",4
Object,Wall,"(4160, 896)",4
Object,Wall,"(4224, 896)",4
Object,Wall,"(4288, 896)",4
Object,Wall,"(4288, 0)",4
Object,Wall,"(4288, 64)",4
Object,Wall,"(4288, 128)",4
Object,Wall,"(4288, 192)",4
Object,Wall,"(4288, 256)",4
Object,Wall,"(4288, 320)",4
Object,Wall,"(4288, 384)",4
Object,Wall,"(4288, 448)",4
Object,Wall,"(4288, 512)",4
Object,Wall,"(4288, 576)",4
Object,Wall,"(4288, 640)",4
Object,Wall,"(4288, 704)",4
Object,Wall,"(4288, 768)",4
Object,Wall,"(2752, 448)",4
Object,Wall,"(2816, 448)",4
Object,Wall,"(2880, 448)",4
Object,Wall,"(2944, 448)",4
Object,Wall,"(3008, 448)",4
Object,Wall,"(3072, 448)",4
Object,Wall,"(3136, 448)",4
Object,Wall,"(3200, 448)",4
Object,Wall,"(3264, 448)",4
Object,Wall,"(3328, 448)",4
Object,Wall,"(3392, 448)",4
Object,Wall,"(3456, 448)",4
Object,Wall,"(3520, 448)",4
Object,Wall,"(3584, 448)",4
Object,Wall,"(3648, 448)",4
Object,Wall,"(3776, 704)",4
Object,Wall,"(3712, 704)",4
Object,Wall,"(3712, 448)",4
Object,Wall,"(3648, 704)",4
Object,Wall,"(3584, 704)",4
Object,Wall,"(3520, 704)",4
Object,Wall,"(3456, 704)",4
Object,Wall,"(3392, 704)",4
Object,Wall,"(3328, 704)",4
Object,Wall,"(3264, 704)",4
Object,Wall,"(3200, 704)",4
Object,Wall,"(3136, 704)",4
Object,Wall,"(3072, 704)",4
Object,Wall,"(3008, 704)",4
Object,Wall,"(2944, 704)",4
Object,Wall,"(2880, 704)",4
Object,Wall,"(2816, 704)",4
Object,Wall,"(2624, 704)",4
Object,Wall,"(2688, 704)",4
Object,Wall,"(2752, 704)",4
Object,MiniNeedle,"(3840, 704)",0
Object,MiniNeedle,"(3904, 704)",0
Object,MiniNeedle,"(3968, 704)",0
Object,MiniNeedle,"(4032, 704)",0
Object,MiniNeedle,"(4160, 704)",0
Object,MiniNeedle,"(4224, 704)",0
Object,MiniNeedle,"(4096, 704)",0
Object,Needle,"(3648, 512)",2,1
Object,Needle,"(2944, 512)",2,1
Object,JumpToggleNeedle,"(3328, 512)",2,false
Object,Needle,"(3392, 512)",2,1
Object,Wall,"(2752, 192)",4
Object,Wall,"(2816, 192)",4
Object,Wall,"(2880, 192)",4
Object,Wall,"(2944, 192)",4
Object,Wall,"(3200, 192)",4
Object,Wall,"(3136, 192)",4
Object,Wall,"(3072, 192)",4
Object,Wall,"(3008, 192)",4
Object,Wall,"(3264, 192)",4
Object,Wall,"(3328, 192)",4
Object,Wall,"(3392, 192)",4
Object,Wall,"(3456, 192)",4
Object,Wall,"(3520, 192)",4
Object,Wall,"(3584, 192)",4
Object,Wall,"(3648, 192)",4
Object,Wall,"(3712, 192)",4
Object,Needle,"(3392, 256)",2,1
Object,MiniNeedle,"(3584, 384)",0
Object,MiniNeedle,"(3520, 384)",0
Object,Wall,"(3712, 128)",4
Object,Wall,"(3712, 64)",4
Object,Wall,"(3712, 0)",4
Object,Wall,"(3648, 0)",4
Object,Wall,"(3584, 0)",4
Object,Wall,"(3520, 0)",4
Object,Wall,"(3456, 0)",4
Object,Wall,"(3392, 0)",4
Object,Wall,"(3328, 0)",4
Object,Wall,"(3328, 64)",4
Object,Wall,"(3264, 64)",4
Object,Wall,"(3328, 128)",4
Object,Wall,"(3392, 128)",4
Object,Wall,"(3392, 64)",4
Object,Wall,"(3456, 64)",4
Object,Wall,"(3520, 64)",4
Object,Wall,"(3456, 128)",4
Object,Wall,"(3520, 128)",4
Object,Wall,"(3584, 64)",4
Object,Wall,"(3648, 64)",4
Object,Wall,"(3648, 128)",4
Object,Wall,"(3584, 128)",4
Object,Wall,"(3264, 128)",4
Object,Wall,"(3200, 128)",4
Object,Wall,"(3136, 128)",4
Object,Wall,"(3072, 128)",4
Object,Wall,"(3136, 64)",4
Object,Wall,"(3200, 64)",4
Object,Wall,"(3264, 0)",4
Object,Wall,"(3072, 64)",4
Object,Wall,"(3008, 64)",4
Object,Wall,"(3072, 0)",4
Object,Wall,"(3136, 0)",4
Object,Wall,"(3200, 0)",4
Object,Wall,"(2944, 64)",4
Object,Wall,"(2944, 128)",4
Object,Wall,"(2880, 128)",4
Object,Wall,"(3008, 0)",4
Object,Wall,"(2816, 128)",4
Object,Wall,"(2752, 128)",4
Object,Wall,"(2752, 64)",4
Object,Wall,"(2816, 0)",4
Object,Wall,"(2880, 0)",4
Object,Wall,"(2880, 64)",4
Object,Wall,"(2816, 64)",4
Object,Wall,"(2944, 0)",4
Object,Wall,"(3008, 128)",4
Object,Wall,"(2752, 0)",4
Object,TouchActiveFloor,"(2432, 896)",1,1536
Object,SavePoint,"(2560, 384)"
Object,Wall,"(4288, 832)",4
Object,WarpPoint,"(4224, 832)",data/map/snow_1.csv
Object,DangerWall,"(2752, 3072)",1
Object,DangerWall,"(2816, 3072)",1
Object,DangerWall,"(2880, 3072)",1
Object,DangerWall,"(2944, 3072)",1
Object,DangerWall,"(3008, 3072)",1
Object,DangerWall,"(3072, 3072)",1
Object,DangerWall,"(3136, 3072)",1
Object,DangerWall,"(3200, 3072)",1
Object,DangerWall,"(3264, 3072)",1
Object,DangerWall,"(3328, 3072)",1
Object,DangerWall,"(3392, 3072)",1
Object,DangerWall,"(3456, 3072)",1
Object,DangerWall,"(3520, 3072)",1
Object,DangerWall,"(3584, 3072)",1
Object,DangerWall,"(3648, 3072)",1
Object,DangerWall,"(3712, 3072)",1
Object,DangerWall,"(3776, 3072)",1
Object,DangerWall,"(3840, 3072)",1
Object,DangerWall,"(3904, 3072)",1
Object,DangerWall,"(3968, 3072)",1
Object,DangerWall,"(4032, 3072)",1
Object,DangerWall,"(4096, 3072)",1
Object,DangerWall,"(4160, 3072)",1
Object,DangerWall,"(4224, 3072)",1
Object,DangerWall,"(4288, 3072)",1
Object,DangerWall,"(4352, 3072)",1
Object,DangerWall,"(4416, 3072)",1
Object,DangerWall,"(4480, 3072)",1
Object,DangerWall,"(4544, 3072)",1
Object,DangerWall,"(4608, 3072)",1
Object,DangerWall,"(4672, 3072)",1
Object,DangerWall,"(4736, 3072)",1
Object,DangerWall,"(4800, 3072)",1
Object,DangerWall,"(4864, 3072)",1
Object,DangerWall,"(4928, 3072)",1
Object,DangerWall,"(4992, 3072)",1
Object,DangerWall,"(5056, 3072)",1
Object,DangerWall,"(5120, 3072)",1
Object,DangerWall,"(5184, 3072)",1
Object,DangerWall,"(5248, 3072)",1
Object,DangerWall,"(5312, 3072)",1
Object,DangerWall,"(5376, 3072)",1
Object,DangerWall,"(5440, 3072)",1
Object,DangerWall,"(5504, 3072)",1
Object,DangerWall,"(5568, 3072)",1
Object,DangerWall,"(5632, 3072)",1
Object,DangerWall,"(5696, 3072)",1
Object,DangerWall,"(5824, 3072)",1
Object,DangerWall,"(5760, 3072)",1
Object,DangerWall,"(5888, 3072)",1
Object,DangerWall,"(5952, 3072)",1
Object,DangerWall,"(6016, 3072)",1
Object,DangerWall,"(6080, 3072)",1
Object,DangerWall,"(6144, 3072)",1
Object,DangerWall,"(6208, 3072)",1
Object,DangerWall,"(6272, 3072)",1
Object,DangerWall,"(6336, 3072)",1
Object,DangerWall,"(6400, 3072)",1
Object,DangerWall,"(6464, 3072)",1
Object,DangerWall,"(6528, 3072)",1
Object,DangerWall,"(6592, 3072)",1
Object,DangerWall,"(6656, 3072)",1
Object,Needle,"(192, 1024)",0,1
Object,Needle,"(192, 1088)",0,1
Object,Needle,"(320, 1216)",0,1
Object,Needle,"(384, 1216)",0,1
Object,Needle,"(448, 1216)",0,1
Object,Needle,"(192, 960)",0,1
Object,Needle,"(192, 1152)",0,1
Object,Needle,"(192, 1216)",0,1
Object,Needle,"(256, 1216)",0,1
Object,Needle,"(512, 1216)",0,1
Object,Needle,"(576, 1216)",0,1
Object,Needle,"(576, 1152)",0,1
Object,Needle,"(576, 1024)",0,1
Object,Needle,"(576, 1088)",0,1
Object,Needle,"(576, 960)",0,1
Object,Needle,"(576, 896)",0,1
Object,Needle,"(576, 832)",0,1
Object,Needle,"(576, 768)",0,1
Object,Needle,"(512, 768)",0,1
Object,Needle,"(448, 768)",0,1
Object,Needle,"(384, 768)",0,1
Object,Needle,"(320, 768)",0,1
Object,Needle,"(192, 832)",0,1
Object,Needle,"(192, 768)",0,1
Object,Needle,"(256, 768)",0,1
Object,Needle,"(192, 896)",0,1
Object,Wall,"(2368, 512)",4
Object,Wall,"(2368, 576)",4
Object,Wall,"(2368, 640)",4
Object,Wall,"(2432, 512)",4
Object,Wall,"(2496, 512)",4
Object,Wall,"(2560, 512)",4
Object,Wall,"(2624, 512)",4
Object,Wall,"(2688, 512)",4
Object,Needle,"(2752, 512)",1,1
Background,1
